Product Name,Name,Stars,Title,Date,Description
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Sandhyaram,2.0,"2.0 out of 5 stars
Battery problem",N/A,"2h charging 100%
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Suresh,1.0,"1.0 out of 5 stars
Not as per image",N/A,"Screen is very small
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Rakesh Sharma,2.0,"2.0 out of 5 stars
8/10 rating",N/A,"Battery of this watch is terrible I think if apple improve its Battery.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Arvind Singh,1.0,"1.0 out of 5 stars
Buy watch 8 instead",N/A,"The prices for watch SE and Watch 8 are similar and you can get watch 8 till the stock lastsSo don’t buy SE , instead buy watch 8
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Karthikeyan,5.0,"5.0 out of 5 stars
Good and reliable watch.",N/A,"Very good in terms of features and amazing quality. Reliable in terms of performance and battery capacity.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Vishvesh,4.0,"4.0 out of 5 stars
The Perfect Budget Apple Watch",N/A,"This is the first time I am using an Apple Watch. After a lot of reviews and comparisons, I finally decided to go for the Apple Watch SE 2023 for:1) The crisp AMOLED display (Always on Display not available) - If you guys need the AOD, please skip this watch.2) Basic Features - As this is my first apple watch, I thought I need to get used to the UI and the gestures so I personally decided to go for the watch that has latest OS and processor with minimal and basic functions. (Blood Oxygen and ECG not available - if that is your priority, please skip this watch)3) Smooth Watch OS - This is by far the best UI I have ever used in a smart watch. Everything looks good, works good and feels good.4) Calling - The call quality in the watch is AMAZING! The user at the other end cannot tell the difference whether you're calling/communicating through your watch or through your phone.5) Accuracy - I heard many reviewers saying that the apple watch is the measuring stick for all tracking (sleep, step, heart rate, etc) and it is indeed true. All the measurements are almost 95% accurate when compared to the high-end measuring devices.Cons:I have been using this watch for the past 2 months and never really found any noticeable cons. If found any, definitely I will update.Overall it is an excellent product compared to other watches. Of course Samsung and Xiaomi offers better features such as AOD, Blood Oxygen Monitor, ECG, etc at a lesser price but still, considering the quality and user experience, definitely I would suggest this Apple Watch SE 2023.I purchased this watch for 25k which is surprising as 44mm SE 2023 at that price range was confusing as 40mm was around 27-28k at that time. I did not see any notable offers but surprisingly, I got this for a low price tag which also makes me adore the purchase I made.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Bindu,5.0,"5.0 out of 5 stars
Good One",N/A,"Simple look with basic features.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Sandhyaram,2.0,"2.0 out of 5 stars
Battery problem",N/A,"2h charging 100%
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Suresh,1.0,"1.0 out of 5 stars
Not as per image",N/A,"Screen is very small
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Rakesh Sharma,2.0,"2.0 out of 5 stars
8/10 rating",N/A,"Battery of this watch is terrible I think if apple improve its Battery.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Arvind Singh,1.0,"1.0 out of 5 stars
Buy watch 8 instead",N/A,"The prices for watch SE and Watch 8 are similar and you can get watch 8 till the stock lastsSo don’t buy SE , instead buy watch 8
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Karthikeyan,5.0,"5.0 out of 5 stars
Good and reliable watch.",N/A,"Very good in terms of features and amazing quality. Reliable in terms of performance and battery capacity.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Vishvesh,4.0,"4.0 out of 5 stars
The Perfect Budget Apple Watch",N/A,"This is the first time I am using an Apple Watch. After a lot of reviews and comparisons, I finally decided to go for the Apple Watch SE 2023 for:1) The crisp AMOLED display (Always on Display not available) - If you guys need the AOD, please skip this watch.2) Basic Features - As this is my first apple watch, I thought I need to get used to the UI and the gestures so I personally decided to go for the watch that has latest OS and processor with minimal and basic functions. (Blood Oxygen and ECG not available - if that is your priority, please skip this watch)3) Smooth Watch OS - This is by far the best UI I have ever used in a smart watch. Everything looks good, works good and feels good.4) Calling - The call quality in the watch is AMAZING! The user at the other end cannot tell the difference whether you're calling/communicating through your watch or through your phone.5) Accuracy - I heard many reviewers saying that the apple watch is the measuring stick for all tracking (sleep, step, heart rate, etc) and it is indeed true. All the measurements are almost 95% accurate when compared to the high-end measuring devices.Cons:I have been using this watch for the past 2 months and never really found any noticeable cons. If found any, definitely I will update.Overall it is an excellent product compared to other watches. Of course Samsung and Xiaomi offers better features such as AOD, Blood Oxygen Monitor, ECG, etc at a lesser price but still, considering the quality and user experience, definitely I would suggest this Apple Watch SE 2023.I purchased this watch for 25k which is surprising as 44mm SE 2023 at that price range was confusing as 40mm was around 27-28k at that time. I did not see any notable offers but surprisingly, I got this for a low price tag which also makes me adore the purchase I made.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Bindu,5.0,"5.0 out of 5 stars
Good One",N/A,"Simple look with basic features.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Sandhyaram,2.0,"2.0 out of 5 stars
Battery problem",N/A,"2h charging 100%
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Suresh,1.0,"1.0 out of 5 stars
Not as per image",N/A,"Screen is very small
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Rakesh Sharma,2.0,"2.0 out of 5 stars
8/10 rating",N/A,"Battery of this watch is terrible I think if apple improve its Battery.
Read more"
"Apple Watch SE (2nd Gen, 2023) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop One Size. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Retina Display",Arvind Singh,1.0,"1.0 out of 5 stars
Buy watch 8 instead",N/A,"The prices for watch SE and Watch 8 are similar and you can get watch 8 till the stock lastsSo don’t buy SE , instead buy watch 8
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vaidehi,5.0,"5.0 out of 5 stars
Trendy watch",N/A,"I have been using this watch regularly for past year and its simply fabulous.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",vijay,5.0,"5.0 out of 5 stars
Value of money",N/A,"If you are looking for a watch that is the in the 20k-30k segment, this is the watch to go for. It ticks all the right boxes. It has cellular for those times when you are reluctant to carry a phone during your workout and has good workout modes. I have tested this watch having airpods which would help you to have a better experience.Pros1. A days battery life.2. Good workout modes3. Basic water resistance(tested in a pool) although it will not accept any input in water and works and soon as it dries up4. Cellular good enough to take calls and listen to music.Cons1. Battery gets drained very fast when a workout mode is on.2. If you are on a long call, the watch gets heated up and cellular becomes unusable. When the watch cools down you can make calls again.3. Water resistant but in water it will not accept inputs. You have to turn on your workout mode and jump into the pool. You cant do it once in the pool.4. You have to charge it daily. If you workout more then charge twice a day.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",KISHOR,5.0,"5.0 out of 5 stars
Best Budget friendly premium watch",N/A,"Best Budget friendly premium watch, its worth it I purchased for  INR 22,150.00 Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Black Sport Band on  3 October 2021
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Rohith kumar,4.0,"4.0 out of 5 stars
Battery percentage was zero",N/A,"I go a product in very good packing im excited to do the unboxing but finally i swichon the watch there is not charge i got upset finally product was good nice experience
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vishwa,5.0,"5.0 out of 5 stars
value for money in apple",N/A,"good updated
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",MeAmazon Customer,5.0,"5.0 out of 5 stars
Please arrange display",N/A,"The media could not be loaded.
                



 My watch display is Broken
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Kailash,5.0,"5.0 out of 5 stars
Good",N/A,"Worth for money
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Aditya Jaiswal,5.0,"5.0 out of 5 stars
Great for Everyday Use",N/A,"The media could not be loaded.
                



 You know it’ll be great when it’s apple. The Build Quality is Top-Notch. It comes with so many Cute watch-faces. I order a 40mm version so It fits well on my tiny wrist. The strap is really comfortable, It doesn’t leave a mark on your skin. Do charge it for 100% before using it for the first time. Mine was Drain when It arrived. My only concern is for the battery as It lasts only a day. Overall, It’s a beast on your wrist.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vaidehi,5.0,"5.0 out of 5 stars
Trendy watch",N/A,"I have been using this watch regularly for past year and its simply fabulous.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",vijay,5.0,"5.0 out of 5 stars
Value of money",N/A,"If you are looking for a watch that is the in the 20k-30k segment, this is the watch to go for. It ticks all the right boxes. It has cellular for those times when you are reluctant to carry a phone during your workout and has good workout modes. I have tested this watch having airpods which would help you to have a better experience.Pros1. A days battery life.2. Good workout modes3. Basic water resistance(tested in a pool) although it will not accept any input in water and works and soon as it dries up4. Cellular good enough to take calls and listen to music.Cons1. Battery gets drained very fast when a workout mode is on.2. If you are on a long call, the watch gets heated up and cellular becomes unusable. When the watch cools down you can make calls again.3. Water resistant but in water it will not accept inputs. You have to turn on your workout mode and jump into the pool. You cant do it once in the pool.4. You have to charge it daily. If you workout more then charge twice a day.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",KISHOR,5.0,"5.0 out of 5 stars
Best Budget friendly premium watch",N/A,"Best Budget friendly premium watch, its worth it I purchased for  INR 22,150.00 Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Black Sport Band on  3 October 2021
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Rohith kumar,4.0,"4.0 out of 5 stars
Battery percentage was zero",N/A,"I go a product in very good packing im excited to do the unboxing but finally i swichon the watch there is not charge i got upset finally product was good nice experience
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vishwa,5.0,"5.0 out of 5 stars
value for money in apple",N/A,"good updated
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",MeAmazon Customer,5.0,"5.0 out of 5 stars
Please arrange display",N/A,"The media could not be loaded.
                



 My watch display is Broken
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Kailash,5.0,"5.0 out of 5 stars
Good",N/A,"Worth for money
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Aditya Jaiswal,5.0,"5.0 out of 5 stars
Great for Everyday Use",N/A,"The media could not be loaded.
                



 You know it’ll be great when it’s apple. The Build Quality is Top-Notch. It comes with so many Cute watch-faces. I order a 40mm version so It fits well on my tiny wrist. The strap is really comfortable, It doesn’t leave a mark on your skin. Do charge it for 100% before using it for the first time. Mine was Drain when It arrived. My only concern is for the battery as It lasts only a day. Overall, It’s a beast on your wrist.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vaidehi,5.0,"5.0 out of 5 stars
Trendy watch",N/A,"I have been using this watch regularly for past year and its simply fabulous.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",vijay,5.0,"5.0 out of 5 stars
Value of money",N/A,"If you are looking for a watch that is the in the 20k-30k segment, this is the watch to go for. It ticks all the right boxes. It has cellular for those times when you are reluctant to carry a phone during your workout and has good workout modes. I have tested this watch having airpods which would help you to have a better experience.Pros1. A days battery life.2. Good workout modes3. Basic water resistance(tested in a pool) although it will not accept any input in water and works and soon as it dries up4. Cellular good enough to take calls and listen to music.Cons1. Battery gets drained very fast when a workout mode is on.2. If you are on a long call, the watch gets heated up and cellular becomes unusable. When the watch cools down you can make calls again.3. Water resistant but in water it will not accept inputs. You have to turn on your workout mode and jump into the pool. You cant do it once in the pool.4. You have to charge it daily. If you workout more then charge twice a day.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",KISHOR,5.0,"5.0 out of 5 stars
Best Budget friendly premium watch",N/A,"Best Budget friendly premium watch, its worth it I purchased for  INR 22,150.00 Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Black Sport Band on  3 October 2021
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Rohith kumar,4.0,"4.0 out of 5 stars
Battery percentage was zero",N/A,"I go a product in very good packing im excited to do the unboxing but finally i swichon the watch there is not charge i got upset finally product was good nice experience
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vishwa,5.0,"5.0 out of 5 stars
value for money in apple",N/A,"good updated
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",MeAmazon Customer,5.0,"5.0 out of 5 stars
Please arrange display",N/A,"The media could not be loaded.
                



 My watch display is Broken
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Kailash,5.0,"5.0 out of 5 stars
Good",N/A,"Worth for money
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Aditya Jaiswal,5.0,"5.0 out of 5 stars
Great for Everyday Use",N/A,"The media could not be loaded.
                



 You know it’ll be great when it’s apple. The Build Quality is Top-Notch. It comes with so many Cute watch-faces. I order a 40mm version so It fits well on my tiny wrist. The strap is really comfortable, It doesn’t leave a mark on your skin. Do charge it for 100% before using it for the first time. Mine was Drain when It arrived. My only concern is for the battery as It lasts only a day. Overall, It’s a beast on your wrist.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vaidehi,5.0,"5.0 out of 5 stars
Trendy watch",N/A,"I have been using this watch regularly for past year and its simply fabulous.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",vijay,5.0,"5.0 out of 5 stars
Value of money",N/A,"If you are looking for a watch that is the in the 20k-30k segment, this is the watch to go for. It ticks all the right boxes. It has cellular for those times when you are reluctant to carry a phone during your workout and has good workout modes. I have tested this watch having airpods which would help you to have a better experience.Pros1. A days battery life.2. Good workout modes3. Basic water resistance(tested in a pool) although it will not accept any input in water and works and soon as it dries up4. Cellular good enough to take calls and listen to music.Cons1. Battery gets drained very fast when a workout mode is on.2. If you are on a long call, the watch gets heated up and cellular becomes unusable. When the watch cools down you can make calls again.3. Water resistant but in water it will not accept inputs. You have to turn on your workout mode and jump into the pool. You cant do it once in the pool.4. You have to charge it daily. If you workout more then charge twice a day.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",KISHOR,5.0,"5.0 out of 5 stars
Best Budget friendly premium watch",N/A,"Best Budget friendly premium watch, its worth it I purchased for  INR 22,150.00 Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Black Sport Band on  3 October 2021
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Rohith kumar,4.0,"4.0 out of 5 stars
Battery percentage was zero",N/A,"I go a product in very good packing im excited to do the unboxing but finally i swichon the watch there is not charge i got upset finally product was good nice experience
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vishwa,5.0,"5.0 out of 5 stars
value for money in apple",N/A,"good updated
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",MeAmazon Customer,5.0,"5.0 out of 5 stars
Please arrange display",N/A,"The media could not be loaded.
                



 My watch display is Broken
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Kailash,5.0,"5.0 out of 5 stars
Good",N/A,"Worth for money
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Aditya Jaiswal,5.0,"5.0 out of 5 stars
Great for Everyday Use",N/A,"The media could not be loaded.
                



 You know it’ll be great when it’s apple. The Build Quality is Top-Notch. It comes with so many Cute watch-faces. I order a 40mm version so It fits well on my tiny wrist. The strap is really comfortable, It doesn’t leave a mark on your skin. Do charge it for 100% before using it for the first time. Mine was Drain when It arrived. My only concern is for the battery as It lasts only a day. Overall, It’s a beast on your wrist.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vaidehi,5.0,"5.0 out of 5 stars
Trendy watch",N/A,"I have been using this watch regularly for past year and its simply fabulous.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",vijay,5.0,"5.0 out of 5 stars
Value of money",N/A,"If you are looking for a watch that is the in the 20k-30k segment, this is the watch to go for. It ticks all the right boxes. It has cellular for those times when you are reluctant to carry a phone during your workout and has good workout modes. I have tested this watch having airpods which would help you to have a better experience.Pros1. A days battery life.2. Good workout modes3. Basic water resistance(tested in a pool) although it will not accept any input in water and works and soon as it dries up4. Cellular good enough to take calls and listen to music.Cons1. Battery gets drained very fast when a workout mode is on.2. If you are on a long call, the watch gets heated up and cellular becomes unusable. When the watch cools down you can make calls again.3. Water resistant but in water it will not accept inputs. You have to turn on your workout mode and jump into the pool. You cant do it once in the pool.4. You have to charge it daily. If you workout more then charge twice a day.
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",KISHOR,5.0,"5.0 out of 5 stars
Best Budget friendly premium watch",N/A,"Best Budget friendly premium watch, its worth it I purchased for  INR 22,150.00 Apple Watch SE (GPS, 40mm) - Space Grey Aluminium Case with Black Sport Band on  3 October 2021
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Rohith kumar,4.0,"4.0 out of 5 stars
Battery percentage was zero",N/A,"I go a product in very good packing im excited to do the unboxing but finally i swichon the watch there is not charge i got upset finally product was good nice experience
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Vishwa,5.0,"5.0 out of 5 stars
value for money in apple",N/A,"good updated
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",MeAmazon Customer,5.0,"5.0 out of 5 stars
Please arrange display",N/A,"The media could not be loaded.
                



 My watch display is Broken
Read more"
"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Kailash,5.0,"5.0 out of 5 stars
Good",N/A,"Worth for money
Read more"
